name,type,description,max_level,level_1_effect,level_2_effect,level_3_effect,level_4_effect,level_5_effect,level_6_effect,level_7_effect
Powerhouse I,Armor Skill,Temporarily grants attack +10 after a successful Power Clash or Offset attack.,1,Temporarily grants attack +10 after a successful Power Clash or Offset attack.,NA,NA,NA,NA,NA,NA
Scorcher I,Armor Skill,Chance to deal additional fire damage after landing an attack.,1,Chance to deal additional fire damage after landing an attack.,NA,NA,NA,NA,NA,NA
Second Wind I,Armor Skill,Grants an additional Stamina Gauge.,1,Grants an additional Stamina Gauge.,NA,NA,NA,NA,NA,NA
Flawless Armor I,Armor Skill,Reduces the damage you take by 5% when your health is full.,1,Reduces the damage you take by 5% when your health is full.,NA,NA,NA,NA,NA,NA
War Cry I,Armor Skill,"Using the To Victory! gesture moderately increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.",1,"Using the To Victory! gesture moderately increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.",NA,NA,NA,NA,NA,NA
Mutual Hostility I,Armor Skill,Increases elemental attack when large monsters become enraged.,NA,TBA,NA,NA,NA,NA,NA,NA
Mutual Hostility II,Armor Skill,"Level I effect is increased, and you gain a temporary damage barrier. (Barrier reactivates after cooldown.)",NA,TBA,NA,NA,NA,NA,NA,NA
Burst Boost I,Armor Skill,Extends the duration of the Burst skill and grants attack +3 while Burst is active.,1,Extends the duration of the Burst skill and grants attack +3 while Burst is active.,NA,NA,NA,NA,NA,NA
Protein Fiend I,Armor Skill,Temporarily grants attack +15 after eating items such as well-done steak.,1,Temporarily grants attack +15 after eating items such as well-done steak.,NA,NA,NA,NA,NA,NA
Protective Veil I,Armor Skill,Increases defense temporarily when using a specialized tool.,1,Increases defense temporarily when using a specialized tool.,NA,NA,NA,NA,NA,NA
Thunderous Roar I,Armor Skill,Moderately extends the activation time of the Latent Power skill.,1,Moderately extends the activation time of the Latent Power skill.,NA,NA,NA,NA,NA,NA
Bad Blood I,Armor Skill,Deals moderate additional damage while the Resentment skill is active.,1,Deals moderate additional damage while the Resentment skill is active.,NA,NA,NA,NA,NA,NA
Binding Counter I,Armor Skill,"Increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.",1,"Increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.",NA,NA,NA,NA,NA,NA
Black Eclipse I,Armor Skill,Infects you with Frenzy when against large monsters.,1,Infects you with Frenzy when against large monsters.,NA,NA,NA,NA,NA,NA
Decimator I,Armor Skill,Restores a moderate amount of health when destroying a wound on a large monster.,1,Restores a moderate amount of health when destroying a wound on a large monster.,NA,NA,NA,NA,NA,NA
Hasten Recovery I,Armor Skill,"Regenerates a small amount of your health as you continually attack a monster. Recovery varies by weapon.",1,"Regenerates a small amount of your health as you continually attack a monster. Recovery varies by weapon.",NA,NA,NA,NA,NA,NA
Powerhouse II,Armor Skill,Temporarily grants attack +25 after a successful Power Clash or Offset attack.,1,Temporarily grants attack +25 after a successful Power Clash or Offset attack.,NA,NA,NA,NA,NA,NA
Scorcher II,Armor Skill,Increases additional fire damage after landing an attack.,1,Increases additional fire damage after landing an attack.,NA,NA,NA,NA,NA,NA
Second Wind II,Armor Skill,Grants an additional long Stamina Gauge.,1,Grants an additional long Stamina Gauge.,NA,NA,NA,NA,NA,NA
Flawless Armor II,Armor Skill,Reduces the damage you take by 10% when your health is full.,1,Reduces the damage you take by 10% when your health is full.,NA,NA,NA,NA,NA,NA
War Cry II,Armor Skill,"Using the To Victory! gesture increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.",1,"Using the To Victory! gesture increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.",NA,NA,NA,NA,NA,NA
Burst Boost II,Armor Skill,Further extends the duration of the Burst skill and grants attack +10 while Burst is active.,1,Further extends the duration of the Burst skill and grants attack +10 while Burst is active.,NA,NA,NA,NA,NA,NA
Protein Fiend II,Armor Skill,Temporarily grants attack +25 after eating items such as well-done steak.,1,Temporarily grants attack +25 after eating items such as well-done steak.,NA,NA,NA,NA,NA,NA
Protective Veil II,Armor Skill,Greatly increases defense and resistance temporarily when using a specialized tool.,1,Greatly increases defense and resistance temporarily when using a specialized tool.,NA,NA,NA,NA,NA,NA
Thunderous Roar II,Armor Skill,Extends the activation time of the Latent Power skill.,1,Extends the activation time of the Latent Power skill.,NA,NA,NA,NA,NA,NA
Bad Blood II,Armor Skill,Deals additional damage while the Resentment skill is active.,1,Deals additional damage while the Resentment skill is active.,NA,NA,NA,NA,NA,NA
Binding Counter II,Armor Skill,"Greatly increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.",1,"Greatly increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.",NA,NA,NA,NA,NA,NA
Black Eclipse II,Armor Skill,"Infects you with Frenzy and raises attack when against large monsters. Attack power increases upon recovery.",1,"Infects you with Frenzy and raises attack when against large monsters. Attack power increases upon recovery.",NA,NA,NA,NA,NA,NA
Decimator II,Armor Skill,Restores health when destroying a wound on a large monster.,1,Restores health when destroying a wound on a large monster.,NA,NA,NA,NA,NA,NA
Hasten Recovery II,Armor Skill,"Regenerates your health as you continually attack a monster. Recovery varies by weapon.",1,"Regenerates your health as you continually attack a monster. Recovery varies by weapon.",NA,NA,NA,NA,NA,NA
Exhaust Functionality,Decoration Skill,Allows you to apply exhaust coatings.,1,Lets you use exhaust coatings.,NA,NA,NA,NA,NA,NA
Neopteron Alert,Group Skill,Increases the amount of honey you gain from gathering points.,1,"3 Pieces Unlock: Honey Hunter",NA,NA,NA,NA,NA,NA
Neopteron Camouflage,Group Skill,"Increases movement speed while crouching, and makes it easier to escape large monsters' detection.",1,"3 Pieces Unlock: Fleetfoot",NA,NA,NA,NA,NA,NA
Scaling Prowess,Group Skill,"Makes it easier to mount monsters and to wound them once mounted.",1,"3 Pieces Unlock: Master Mounter",NA,NA,NA,NA,NA,NA
Scale Layering,Group Skill,Temporarily reduces stamina depletion when health is at 40% or lower.,1,"3 Pieces Unlock: Adrenaline",NA,NA,NA,NA,NA,NA
Flexible Leathercraft,Group Skill,"Increases gathering speed, and prevents knock back when gathering or carving.",1,"3 Pieces Unlock: Hunter Gatherer",NA,NA,NA,NA,NA,NA
Buttery Leathercraft,Group Skill,Increases your affinity temporarily when sliding on terrain.,1,"3 Pieces Unlock: Affinity Sliding",NA,NA,NA,NA,NA,NA
Fortifying Pelt,Group Skill,"Increases attack and defense after fainting during a quest. (Can be used twice.)",1,"3 Pieces Unlock: Fortify",NA,NA,NA,NA,NA,NA
Alluring Pelt,Group Skill,Increases the attention drawn to you when attacking a monster.,1,"3 Pieces Unlock: Diversion",NA,NA,NA,NA,NA,NA
Lord's Favor,Group Skill,"Temporarily increases attack power when using effects like Melody Effects that affect companions in range.",1,"3 Pieces Unlock: Inspiration",NA,NA,NA,NA,NA,NA
Lord's Fury,Group Skill,Increases attack when inflicted with ailments.,1,"3 Pieces Unlock: Resuscitate",NA,NA,NA,NA,NA,NA
Guardian's Pulse,Group Skill,"Increases recovery speed of stamina and red gauge when near Wylkrystals.",1,"3 Pieces Unlock: Wylk Burst",NA,NA,NA,NA,NA,NA
Guardian's Protection,Group Skill,"Reduces elemental and unique damage while in the Ruins of Wyveria.",1,"3 Pieces Unlock: Ward of Wyveria",NA,NA,NA,NA,NA,NA
Imparted Wisdom,Group Skill,Increases the chance of finding rare gathering points.,1,"3 Pieces Unlock: Forager's Luck",NA,NA,NA,NA,NA,NA
Doshaguma's Might,Set Bonus Skill,"Temporarily increases attack after a successful Power Clash or Offset attack.",2,"Temporarily grants attack +10 after a successful Power Clash or Offset attack","Temporarily grants attack +25 after a successful Power Clash or Offset attack",NA,NA,NA,NA,NA
Rathalos's Flare,Set Bonus Skill,Chance to deal additional Fire Damage after landing an attack.,2,"Chance to deal additional fire damage after landing an attack.","Increases additional fire damage after landing an attack.",NA,NA,NA,NA,NA
Fulgur Anjanath's Will,Set Bonus Skill,Grants an additional Stamina Gauge.,2,"Grants an additional Stamina Gauge.","Grants an additional long Stamina Gauge.",NA,NA,NA,NA,NA
Gravios's Protection,Set Bonus Skill,Reduces damage taken when health is full.,2,"Reduces the damage you take by 5% when your health is full.","Reduces the damage you take by 10% when your health is full.",NA,NA,NA,NA,NA
Blangonga's Spirit,Set Bonus Skill,"Increases attack by using the To Victory! gesture.",2,"Using the To Victory! gesture moderately increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.","Using the To Victory! gesture increases attack temporarily to nearby allies. Greatly effects Palicoes and Support Hunters.",NA,NA,NA,NA,NA
Ebony Odogaron's Power,Set Bonus Skill,Increases the duration of the Burst skill.,2,"Extends the duration of the Burst skill and grants attack +3 while Burst is active.","Further extends the duration of the Burst skill and grants attack +10 while Burst is active.",NA,NA,NA,NA,NA
Xu Wu's Vigor,Set Bonus Skill,Increases attack after eating certain items.,2,"Temporarily grants attack +15 after eating items such as well-done steak.","Temporarily grants attack +25 after eating items such as well-done steak.",NA,NA,NA,NA,NA
Uth Duna's Cover,Set Bonus Skill,Increases defense when using a specialized tool.,2,"Increases defense temporarily when using a specialized tool.","Greatly increases defense and resistance temporarily when using a specialized tool.",NA,NA,NA,NA,NA
Rey Dau's Voltage,Set Bonus Skill,Increases the activation time of the Latent Power skill.,2,"Moderately extends the activation time of the Latent Power skill.","Extends the activation time of the Latent Power skill.",NA,NA,NA,NA,NA
Nu Udra's Mutiny,Set Bonus Skill,Increases the damage output while Resentment is active.,2,"Deals moderate additional damage while the Resentment skill is active.","Deals additional damage while the Resentment skill is active.",NA,NA,NA,NA,NA
Jin Dahaad's Revolt,Set Bonus Skill,Increases attack after recovering from certain status effects.,2,"Increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.","Greatly increases attack after recovering from webbed status, frostblight, being pinned, or a Power Clash.",NA,NA,NA,NA,NA
Gore Magala's Tyranny,Set Bonus Skill,Infects you with Frenzy when against Large Monsters.,2,"Infects you with Frenzy when against large monsters.","Infects you with Frenzy and raises attack when against large monsters. Attack power increases upon recovery.",NA,NA,NA,NA,NA
Guardian Arkveld's Vitality,Set Bonus Skill,Restores health when destroying a wound on a Large Monster.,2,"Restores a moderate amount of health when destroying a wound on a large monster.","Restores health when destroying a wound on a large monster.",NA,NA,NA,NA,NA
Arkveld's Hunger,Set Bonus Skill,"Regenerates health as you continually attack a monster.",2,"Regenerates a small amount of your health as you continually attack a monster. Recovery varies by weapon.","Regenerates your health as you continually attack a monster. Recovery varies by weapon.",NA,NA,NA,NA,NA
Super Recovery I,Armor Skill,"Allows the Health Gauge to continue to slowly recover up to the max value, even if there is no red portion.",1,"Allows the Health Gauge to continue to slowly recover up to the max value, even if there is no red portion.",NA,NA,NA,NA,NA,NA
Super Recovery II,Armor Skill,"Allows the Health Gauge to continue to recover up to the max value, even if there is no red portion.",1,"Allows the Health Gauge to continue to recover up to the max value, even if there is no red portion.",NA,NA,NA,NA,NA,NA
Bubbly Dance I,Armor Skill,"Prevents major bubbleblight and increases evasion while afflicted with minor bubbleblight.",1,"Prevents major bubbleblight and increases evasion while afflicted with minor bubbleblight.",NA,NA,NA,NA,NA,NA
Bubbly Dance II,Armor Skill,"Prevents major bubbleblight and ups evasion while afflicted. Trigger minor bubbleblight by evading many times.",1,"Prevents major bubbleblight and ups evasion while afflicted. Trigger minor bubbleblight by evading many times.",NA,NA,NA,NA,NA,NA
Slicked Blade,Weapon Skill,"Temporarily increases affinity when wet or when inflicted with bubbleblight. (Wet and bubbleblight effects stack.)",3,"Affinity +3% when wet, and +7% while afflicted with bubbleblight.","Affinity +6% when wet, and +14% while afflicted with bubbleblight.","Affinity +9% when wet, and +21% while afflicted with bubbleblight.",NA,NA,NA,NA
Convert Thunder Resistance,Weapon Skill,"Increase to your weapon's elemental attack proportional to your thunder resistance.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Bladescale Loading,Weapon Skill,"Narrowly evading a monster's attack while your weapon is drawn grants special loaded ammo or applied coatings.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Bladescale Honing,Weapon Skill,"Narrowly evading a monster's attack while your weapon is drawn grants special sharpness.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Whiteflame Torrent,Weapon Skill,"Activate skill effect. (When used with Scorcher, does not stack but adds extra fire damage.)",1,"Activate skill effect. (When used with Scorcher, does not stack but adds extra fire damage.)",NA,NA,NA,NA,NA,NA
Lord's Soul,Group Skill,"Boosts attack and lowers defense but lets you survive one lethal hit. Afterwards, boosts defense and res.",1,"3 Pieces Unlock: Guts (Tenacity)",NA,NA,NA,NA,NA,NA
Guts (Tenacity),Armor Skill,"Boosts attack and lowers defense but lets you survive one lethal hit. Afterwards, boosts defense and res.",1,"Boosts attack and lowers defense but lets you survive one lethal hit. Afterwards, boosts defense and res.",NA,NA,NA,NA,NA,NA
Crackling Cornpopper,Weapon Skill,"Increases shelling power and fire attack while overheated.",1,Activates the skill effect.,NA,NA,NA,NA,NA,NA
Flamefete Boon I,Armor Skill,During Flamefete adds special items to quest rewards.,1,"During Flamefete, adds special items to quest rewards.",NA,NA,NA,NA,NA,NA
Flamefete Boon II,Armor Skill,"During Flamefete, adds special items to quest rewards, and greatly boosts attack and defense.",1,"During Flamefete, adds special items to quest rewards, and greatly boosts attack and defense.",NA,NA,NA,NA,NA,NA
Festival Spirit,Group Skill,Lets you carve one additional time from carcasses during quests.,1,"3 Pieces Unlock: Carving Master",NA,NA,NA,NA,NA,NA
Carving Master,Armor Skill,Lets you carve one additional time from carcasses during quests.,1,"Lets you carve one additional time from carcasses during quests.",NA,NA,NA,NA,NA,NA
Power Stone,Weapon Skill,Temporarily increases attack upon mining materials.,1,"Mining particularly rare materials greatly increases attack. (Attack increase has a maximum limit.)",NA,NA,NA,NA,NA,NA
Darkside,Weapon Skill,"Performing certain Lv 2 or higher charged slashes temporarily increases attack but also deals self-damage.",1,"Activates skill effect. (Will not activate again for a set period of time)",NA,NA,NA,NA,NA,NA
Synergy,Weapon Skill,"Temporarily increases your affinity and the affinity of those around you after using a Rising Spiral Slash.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Synthetic Shield,Weapon Skill,"Temporarily increases your defense and the defense of those around you after a successful Perfect Guard.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Dark Arts,Armor Skill,"Having recoverable damage increases elemental attack, and some great sword Lv 3 charged slashes are strengthened.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
The Blackest Night,Armor Skill,Allows you to perform the special action: The Blackest Night.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Resonance I,Armor Skill,"(When quest starts) Local and Remote Resonance alternate, increasing attack or affinity when conditions are met.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Resonance II,Armor Skill,"Increases the effects of Resonance I, and the effect of the weapon skill Synthetic Shield or the effect of Synergy.",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Grillmaster,Weapon Skill,"Grill meat to sharpen your weapon and temporarily increase your attack (Duration and effect vary based on results.)",1,Activates skill effect.,NA,NA,NA,NA,NA,NA
Blossomdance Prayer,Set Bonus Skill,"During Blossomdance, adds special items to quest rewards.",2,"During Blossomdance, adds special items to quest rewards.","During Blossomdance, adds special items to quest rewards, and greatly boosts attack and defense",NA,NA,NA,NA,NA
Flamefete Prayer,Set Bonus Skill,"During Flamefete, adds special items to quest rewards.",2,"During Flamefete, adds special items to quest rewards.","During Flamefete, adds special items to quest rewards, and greatly boosts attack and defense.",NA,NA,NA,NA,NA
Dreamspell Prayer,Set Bonus Skill,"During Dreamspell, adds special items to quest rewards.",2,"During Dreamspell, adds special items to quest rewards. (No effect when joining mid-quest.)","During Dreamspell, adds special items to quest rewards, and greatly boosts attack and defense.",NA,NA,NA,NA,NA
Leviathan's Fury,Set Bonus Skill,"Can temporarily increase affinity and deal extra thunder damage.",2,"Temporarily increases affinity and can deal extra thunder damage upon buildup. (Excludes some attacks.)","Further increases additional thunder damage and moderately extends the duration affinity is increased.",NA,NA,NA,NA,NA
Mizutsune's Prowess,Set Bonus Skill,"Prevents major bubbleblight, and increases evasion with minor bubbleblight.",2,"Prevents major bubbleblight and increases evasion while afflicted with minor bubbleblight.","Prevents major bubbleblight and ups evasion while afflicted. Trigger minor bubbleblight by evading many times.",NA,NA,NA,NA,NA
Omega Resonance,Set Bonus Skill,"Increases attack or affinity when certain conditions are met.",2,"(When quest starts) Local and Remote Resonance alternate, increasing attack or affinity when conditions are met.","Increases the effects of Resonance I, and the effect of the weapon skill Synthetic Shield or the effect of Synergy.",NA,NA,NA,NA,NA
Seregios's Tenacity,Set Bonus Skill,"Increases the duration of Adrenaline Rush. Can also increase attack.",2,"Extends the duration of Adrenaline Rush. If triggered again while the skill is active, extends the effect duration once.","Additionally, if triggered again while the skill is active, further increases attack.",NA,NA,NA,NA,NA
Soul of the Dark Knight,Set Bonus Skill,"May increase some Great Swords LV 3 charged slashes, and grants you a special action called The Blackest Night.",2,"Having recoverable damage increases elemental attack, and some great sword Lv 3 charged slashes are strengthened.","Allows you to perform the special action: The Blackest Night.",NA,NA,NA,NA,NA
Zoh Shia's Pulse,Set Bonus Skill,"Allows the Health Gauge to slowly recover up to the max value, even if there is no red portion.",2,"Allows the Health Gauge to continue to slowly recover up to the max value, even if there is no red portion.","Allows the Health Gauge to continue to recover up to the max value, even if there is no red portion.",NA,NA,NA,NA,NA
Gogmapocalypse,Set Bonus Skill,"Increases elemental damage when large monsters become enraged.",2,"Increases elemental attack when large monsters become enraged.","Level I effect is increased, and you gain a temporary damage barrier. (Barrier reactivates after cooldown.)",NA,NA,NA,NA,NA
Rice Ball,Armor Skill,"Increases the attack power of Akuma actions and stun damage.",1,"Increases the attack power of Akuma actions and stun damage",NA,NA,NA,NA,NA,NA
Glory's Favor,Group Skill,"Increases quest target rewards. (No effect when joining mid-quest.)",1,"3 Pieces Unlock: Luck",NA,NA,NA,NA,NA,NA
Luck,Armor Skill,"Increases quest target rewards. (No effect when joining mid-quest.)",1,"Increases quest target rewards. (No effect when joining mid-quest.)",NA,NA,NA,NA,NA,NA
Master of the Fist,Group Skill,"Increases power of special actions. Drive Impacts can trigger offset attacks. Further increases power of offset attacks.",1,"3 Pieces Unlock: Satsui no Hado",NA,NA,NA,NA,NA,NA
Satsui no Hado,Armor Skill,"Increases power of special actions. Drive Impacts can trigger offset attacks. Further increases power of offset attacks.",1,"Increases power of special actions. Drive Impacts can trigger offset attacks. Further increases power of offset attacks.",NA,NA,NA,NA,NA,NA
Blossomdance Boon I,Armor Skill,"During Blossomdance, adds special items to quest rewards. (No effect when joining mid-quest)",1,"During Blossomdance, adds special items to quest rewards. (No effect when joining mid-quest)",NA,NA,NA,NA,NA,NA
Blossomdance Boon II,Armor Skill,"During Blossomdance, adds special items to quest rewards. (No effect when joining mid-quest)",1,"During Blossomdance, adds special items to quest rewards. (No effect when joining mid-quest)",NA,NA,NA,NA,NA,NA
Dreamspell Boon I,Armor Skill,"During Dreamspell, adds special items to quest rewards. (No effect when joining mid-quest.)",1,"During Dreamspell, adds special items to quest rewards. (No effect when joining mid-quest.)",NA,NA,NA,NA,NA,NA
Dreamspell Boon II,Armor Skill,"During Dreamspell, adds special items to quest rewards, and greatly boosts attack and defense.",1,"During Dreamspell, adds special items to quest rewards, and greatly boosts attack and defense.",NA,NA,NA,NA,NA,NA
Azure Bolt I,Armor Skill,"Temporarily increases affinity and can deal extra thunder damage upon buildup. (Excludes some attacks.)",1,"Temporarily increases affinity and can deal extra thunder damage upon buildup. (Excludes some attacks.)",NA,NA,NA,NA,NA,NA
Azure Bolt II,Armor Skill,"Further increases additional thunder damage and moderately extends the duration affinity is increased.",1,"Further increases additional thunder damage and moderately extends the duration affinity is increased.",NA,NA,NA,NA,NA,NA
Razor's Edge I,Armor Skill,"Extends the duration of Adrenaline Rush. If triggered again while the skill is active, extends the effect duration once.",1,"Extends the duration of Adrenaline Rush. If triggered again while the skill is active, extends the effect duration once.",NA,NA,NA,NA,NA,NA
Razor's Edge II,Armor Skill,"Additionally, if triggered again while the skill is active, further increases attack.",1,"Additionally, if triggered again while the skill is active, further increases attack.",NA,NA,NA,NA,NA,NA
Catburglar,Weapon Skill,Grants a small chance of obtaining various items when landing critical hits.,1,Activates skill effect.,NA,NA,NA,NA,NA,NA
